103,"08/03/2023;715;A;CLP;0,00638700;0,00639300;803,80000000;804,50000000"
104,"08/03/2023;720;A;COP;0,00108400;0,00108500;4735,57000000;4741,57000000"
105,"08/03/2023;721;B;COU;0,36020000;0,36020000;0,07010000;0,07010000"
106,"08/03/2023;725;A;CUP;0,21410000;0,21410000;24,00000000;24,00000000"
107,"08/03/2023;730;A;DOP;0,09266000;0,09348000;54,97000000;55,45000000"
108,"08/03/2023;735;A;PHP;0,09280000;0,09284000;55,35000000;55,37000000"
109,"08/03/2023;741;A;MXN;0,28610000;0,28630000;17,94560000;17,95610000"
110,"08/03/2023;745;A;UYU;0,13060000;0,13070000;39,31000000;39,35000000"
111,"08/03/2023;755;B;BWP;0,37770000;0,38390000;0,07350000;0,07470000"
112,"08/03/2023;760;A;MWK;0,00501500;0,00509000;1009,55000000;1024,55000000"
113,"08/03/2023;766;A;ZMW;0,25180000;0,25540000;20,11700000;20,40200000"
114,"08/03/2023;770;A;GTQ;0,65700000;0,65970000;7,79000000;7,82000000"
115,"08/03/2023;775;A;MMK;0,00243900;0,00245400;2093,70000000;2106,30000000"
116,"08/03/2023;778;B;PGK;1,42070000;1,49790000;0,27650000;0,29150000"
117,"08/03/2023;780;A;LAK;0,00030310;0,00030390;16910,00000000;16950,00000000"
118,"08/03/2023;785;A;ZAR;0,27720000;0,27720000;18,53500000;18,53840000"
119,"08/03/2023;795;A;CNY;0,73890000;0,73940000;6,94960000;6,95350000"
120,"08/03/2023;796;A;CNH;0,73820000;0,73850000;6,95800000;6,96000000"
121,"08/03/2023;800;A;QAR;1,40510000;1,41170000;3,64000000;3,65670000"
122,"08/03/2023;805;A;OMR;13,34220000;13,35070000;0,38490000;0,38510000"
123,"08/03/2023;810;A;YER;0,02052000;0,02056000;249,95000000;250,45000000"
124,"08/03/2023;815;A;IRR;0,00012230;0,00012240;42000,00000000;42005,00000000"
125,"08/03/2023;820;A;SAR;1,36850000;1,36900000;3,75350000;3,75450000"
126,"08/03/2023;825;A;KHR;0,00126600;0,00127300;4038,00000000;4058,00000000"
127,"08/03/2023;828;A;MYR;1,13470000;1,13610000;4,52300000;4,52800000"
128,"08/03/2023;830;A;RUB;0,06731000;0,06733000;76,32170000;76,33070000"
129,"08/03/2023;831;A;BYN;2,03000000;2,04070000;2,51810000;2,53110000"
130,"08/03/2023;835;A;TJS;0,46970000;0,47140000;10,90000000;10,94000000"
131,"08/03/2023;840;A;MUR;0,10890000;0,10960000;46,90000000;47,20000000"
132,"08/03/2023;845;A;NPR;0,03913000;0,03914000;131,29000000;131,30000000"
133,"08/03/2023;850;A;SCR;0,35900000;0,37890000;13,56140000;14,31170000"
134,"08/03/2023;855;A;LKR;0,01557000;0,01631000;315,00000000;330,00000000"
135,"08/03/2023;860;A;INR;0,06273000;0,06278000;81,85500000;81,91000000"
136,"08/03/2023;865;A;IDR;0,00033280;0,00033300;15430,00000000;15440,00000000"
137,"08/03/2023;870;A;MVR;0,33150000;0,33320000;15,42000000;15,50000000"
138,"08/03/2023;875;A;PKR;0,01853000;0,01858000;276,50000000;277,25000000"
139,"08/03/2023;880;A;ILS;1,42960000;1,43220000;3,58800000;3,59400000"
140,"08/03/2023;892;A;KGS;0,05874000;0,05878000;87,42000000;87,47430000"
141,"08/03/2023;893;A;UZS;0,00045110;0,00045160;11380,01000000;11390,01000000"
142,"08/03/2023;905;A;BDT;0,04878000;0,04883000;105,23000000;105,33000000"
143,"08/03/2023;912;B;WST;1,79320000;1,94760000;0,34900000;0,37900000"
144,"08/03/2023;913;A;KZT;0,01172000;0,01173000;437,93000000;438,57000000"
145,"08/03/2023;915;A;MNT;0,00144300;0,00146400;3510,00000000;3560,00000000"
146,"08/03/2023;920;A;VUV;0,04177000;0,04392000;117,00000000;123,00000000"
147,"08/03/2023;930;A;KRW;0,00390500;0,00390800;1314,79000000;1315,82000000"
148,"08/03/2023;946;A;TZS;0,00219100;0,00220100;2335,00000000;2345,00000000"
149,"08/03/2023;950;A;KES;0,03999000;0,04005000;128,30000000;128,50000000"
150,"08/03/2023;955;A;UGX;0,00138500;0,00138900;3701,00000000;3711,00000000"
151,"08/03/2023;960;A;SOS;0,00898300;0,00909500;565,00000000;572,00000000"
152,"08/03/2023;975;A;PLN;1,15880000;1,15930000;4,43240000;4,43390000"
153,"08/03/2023;978;B;EUR;5,42170000;5,42440000;1,05520000;1,05560000"
154,"08/03/2023;998;A;XAU;300,64950000;300,68460000;0,01709000;0,01709000"
